"Statistic","CensusYear","Sex","Age Last Birthday","At Each Year of Age","UNIT","VALUE"
"Population 2011 to 2016","2016","Male","18 years","Population","Number","31383"
"Population 2011 to 2016","2016","Male","18 years","Population at or under this age","Number","640168"
"Population 2011 to 2016","2016","Male","18 years","Population at or over this age","Number","1745643"
"Population 2011 to 2016","2016","Male","19 years","Population","Number","29319"
"Population 2011 to 2016","2016","Male","19 years","Population at or under this age","Number","669487"
"Population 2011 to 2016","2016","Male","19 years","Population at or over this age","Number","1714260"
"Population 2011 to 2016","2016","Male","20 years","Population","Number","28508"
"Population 2011 to 2016","2016","Male","20 years","Population at or under this age","Number","697995"
"Population 2011 to 2016","2016","Male","20 years","Population at or over this age","Number","1684941"
"Population 2011 to 2016","2016","Male","21 years","Population","Number","27407"
"Population 2011 to 2016","2016","Male","21 years","Population at or under this age","Number","725402"
"Population 2011 to 2016","2016","Male","21 years","Population at or over this age","Number","1656433"
"Population 2011 to 2016","2016","Male","22 years","Population","Number","27326"
"Population 2011 to 2016","2016","Male","22 years","Population at or under this age","Number","752728"
"Population 2011 to 2016","2016","Male","22 years","Population at or over this age","Number","1629026"
"Population 2011 to 2016","2016","Male","23 years","Population","Number","27272"
"Population 2011 to 2016","2016","Male","23 years","Population at or under this age","Number","780000"
"Population 2011 to 2016","2016","Male","23 years","Population at or over this age","Number","1601700"
"Population 2011 to 2016","2016","Male","24 years","Population","Number","27071"
"Population 2011 to 2016","2016","Male","24 years","Population at or under this age","Number","807071"
"Population 2011 to 2016","2016","Male","24 years","Population at or over this age","Number","1574428"
"Population 2011 to 2016","2016","Male","25 years","Population","Number","28794"
"Population 2011 to 2016","2016","Male","25 years","Population at or under this age","Number","835865"
"Population 2011 to 2016","2016","Male","25 years","Population at or over this age","Number","1547357"
"Population 2011 to 2016","2016","Male","26 years","Population","Number","27683"
"Population 2011 to 2016","2016","Male","26 years","Population at or under this age","Number","863548"
"Population 2011 to 2016","2016","Male","26 years","Population at or over this age","Number","1518563"
"Population 2011 to 2016","2016","Male","27 years","Population","Number","30239"
"Population 2011 to 2016","2016","Male","27 years","Population at or under this age","Number","893787"
"Population 2011 to 2016","2016","Male","27 years","Population at or over this age","Number","1490880"
"Population 2011 to 2016","2016","Male","28 years","Population","Number","28452"
"Population 2011 to 2016","2016","Male","28 years","Population at or under this age","Number","922239"
"Population 2011 to 2016","2016","Male","28 years","Population at or over this age","Number","1460641"
"Population 2011 to 2016","2016","Male","29 years","Population","Number","30054"
"Population 2011 to 2016","2016","Male","29 years","Population at or under this age","Number","952293"
"Population 2011 to 2016","2016","Male","29 years","Population at or over this age","Number","1432189"
"Population 2011 to 2016","2016","Male","30 years","Population","Number","32752"
"Population 2011 to 2016","2016","Male","30 years","Population at or under this age","Number","985045"
"Population 2011 to 2016","2016","Male","30 years","Population at or over this age","Number","1402135"
"Population 2011 to 2016","2016","Male","31 years","Population","Number","32801"
"Population 2011 to 2016","2016","Male","31 years","Population at or under this age","Number","1017846"
"Population 2011 to 2016","2016","Male","31 years","Population at or over this age","Number","1369383"
"Population 2011 to 2016","2016","Male","32 years","Population","Number","34210"
"Population 2011 to 2016","2016","Male","32 years","Population at or under this age","Number","1052056"
"Population 2011 to 2016","2016","Male","32 years","Population at or over this age","Number","1336582"
"Population 2011 to 2016","2016","Male","33 years","Population","Number","35990"
"Population 2011 to 2016","2016","Male","33 years","Population at or under this age","Number","1088046"
"Population 2011 to 2016","2016","Male","33 years","Population at or over this age","Number","1302372"
"Population 2011 to 2016","2016","Male","34 years","Population","Number","37426"
"Population 2011 to 2016","2016","Male","34 years","Population at or under this age","Number","1125472"
"Population 2011 to 2016","2016","Male","34 years","Population at or over this age","Number","1266382"
"Population 2011 to 2016","2016","Male","35 years","Population","Number","39840"
"Population 2011 to 2016","2016","Male","35 years","Population at or under this age","Number","1165312"
"Population 2011 to 2016","2016","Male","35 years","Population at or over this age","Number","1228956"
"Population 2011 to 2016","2016","Male","36 years","Population","Number","40892"
"Population 2011 to 2016","2016","Male","36 years","Population at or under this age","Number","1206204"
"Population 2011 to 2016","2016","Male","36 years","Population at or over this age","Number","1189116"
"Population 2011 to 2016","2016","Male","37 years","Population","Number","37494"
"Population 2011 to 2016","2016","Male","37 years","Population at or under this age","Number","1243698"
"Population 2011 to 2016","2016","Male","37 years","Population at or over this age","Number","1148224"
"Population 2011 to 2016","2016","Male","38 years","Population","Number","36818"
"Population 2011 to 2016","2016","Male","38 years","Population at or under this age","Number","1280516"
"Population 2011 to 2016","2016","Male","38 years","Population at or over this age","Number","1110730"
"Population 2011 to 2016","2016","Male","39 years","Population","Number","36001"
"Population 2011 to 2016","2016","Male","39 years","Population at or under this age","Number","1316517"
"Population 2011 to 2016","2016","Male","39 years","Population at or over this age","Number","1073912"
"Population 2011 to 2016","2016","Male","40 years","Population","Number","36521"
"Population 2011 to 2016","2016","Male","40 years","Population at or under this age","Number","1353038"
"Population 2011 to 2016","2016","Male","40 years","Population at or over this age","Number","1037911"
"Population 2011 to 2016","2016","Male","41 years","Population","Number","35674"
"Population 2011 to 2016","2016","Male","41 years","Population at or under this age","Number","1388712"
"Population 2011 to 2016","2016","Male","41 years","Population at or over this age","Number","1001390"
"Population 2011 to 2016","2016","Male","42 years","Population","Number","35307"
"Population 2011 to 2016","2016","Male","42 years","Population at or under this age","Number","1424019"
"Population 2011 to 2016","2016","Male","42 years","Population at or over this age","Number","965716"
"Population 2011 to 2016","2016","Male","43 years","Population","Number","35450"
"Population 2011 to 2016","2016","Male","43 years","Population at or under this age","Number","1459469"
"Population 2011 to 2016","2016","Male","43 years","Population at or over this age","Number","930409"
"Population 2011 to 2016","2016","Male","44 years","Population","Number","34530"
"Population 2011 to 2016","2016","Male","44 years","Population at or under this age","Number","1493999"
"Population 2011 to 2016","2016","Male","44 years","Population at or over this age","Number","894959"
"Population 2011 to 2016","2016","Male","45 years","Population","Number","35243"
"Population 2011 to 2016","2016","Male","45 years","Population at or under this age","Number","1529242"
"Population 2011 to 2016","2016","Male","45 years","Population at or over this age","Number","860429"
"Population 2011 to 2016","2016","Male","46 years","Population","Number","33525"
"Population 2011 to 2016","2016","Male","46 years","Population at or under this age","Number","1562767"
"Population 2011 to 2016","2016","Male","46 years","Population at or over this age","Number","825186"
"Population 2011 to 2016","2016","Male","47 years","Population","Number","31932"
"Population 2011 to 2016","2016","Male","47 years","Population at or under this age","Number","1594699"
